,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type
94,Dana Sauvignon Blanc,12.5,https://www.bestbuywinewarehouse.com/collections/all/products/danna-sauvignon-blanc,Dana Sauvignon Blanc,,,,Dana Campbell Sauvignon Blanc,https://www.vivino.com/US-NY/en/wines/162636287,red-wine
95,Delicious Blush,20.0,https://www.bestbuywinewarehouse.com/collections/all/products/delicious-blush,Delicious Blush,,3.7,34.0,Peter Vella Delicious Blush,https://www.vivino.com/US-NY/en/wines/59610738,red-wine
96,Delicious red,20.0,https://www.bestbuywinewarehouse.com/collections/all/products/delicious-red,Delicious red,,3.4,726.0,Puklavec & Friends Delicious Red,https://www.vivino.com/US-NY/en/wines/2568738,red-wine
97,Diseño Malbec,15.95,https://www.bestbuywinewarehouse.com/collections/all/products/diseno-malbec,Diseño Malbec,,3.6,15870.0,Diseño Old Vine Malbec,https://www.vivino.com/US-NY/en/wines/1491104,red-wine
98,Domaine Beaurenard Cotes Du Rhone,18.95,https://www.bestbuywinewarehouse.com/collections/all/products/domaine-beaurenard-cotes-du-rhone,Domaine Beaurenard Cotes Du Rhone,,3.7,1400.0,Domaine de Beaurenard Côtes du Rhône,https://www.vivino.com/US-NY/en/wines/1527685,red-wine
99,Domaine de la Chaise Rose,12.95,https://www.bestbuywinewarehouse.com/collections/all/products/domaine-de-la-chaise-rose,Domaine de la Chaise Rose,,,,Domaine de la Chaise Rosé de Loire,https://www.vivino.com/US-NY/en/wines/32780405,red-wine
100,Domaine Galevan Cotes Du Rhone,19.95,https://www.bestbuywinewarehouse.com/collections/all/products/domaine-galevan-cotes-du-rhone,Domaine Galevan Cotes Du Rhone,,3.8,231.0,Domaine Galévan Côtes du Rhône,https://www.vivino.com/US-NY/en/wines/3997904,red-wine
101,Domaine Germain Pere Pommard,47.95,https://www.bestbuywinewarehouse.com/collections/all/products/domaine-germain-pere-pommard,Domaine Germain Pere Pommard,,4.0,335.0,Domaine Arnaud Germain Pommard,https://www.vivino.com/US-NY/en/wines/1682889,red-wine
102,Domaine Mestre santenay 1er cru,43.95,https://www.bestbuywinewarehouse.com/collections/all/products/domaine-mestre-santenay-1er-cru,Domaine Mestre santenay 1er cru,,3.7,17.0,Domaine Mestre Santenay 1er Cru 'Les Gravières',https://www.vivino.com/US-NY/en/wines/3620495,red-wine
103,Domaine Pere Caboche Cotes Du Rhone,15.95,https://www.bestbuywinewarehouse.com/collections/all/products/domaine-pere-caboche-cotes-du-rhone,Domaine Pere Caboche Cotes Du Rhone,,3.7,1610.0,Domaine du Père Caboche Côtes du Rhône,https://www.vivino.com/US-NY/en/wines/1592867,red-wine
104,E.Guigal Châteauneuf Cotes Du Rhone,19.95,https://www.bestbuywinewarehouse.com/collections/all/products/e-guigal-chateauneuf-cotes-du-rhone,E.Guigal Châteauneuf Cotes Du Rhone,,3.7,68897.0,E. Guigal Côtes-du-Rhône Rouge,https://www.vivino.com/US-NY/en/wines/1470899,red-wine
105,E.Guigal Chateauneuf Du Pape,56.0,https://www.bestbuywinewarehouse.com/collections/all/products/e-guigal-chateauneuf-du-pape,E.Guigal Chateauneuf Du Pape,,4.1,17795.0,E. Guigal Châteauneuf-du-Pape,https://www.vivino.com/US-NY/en/wines/1495119,red-wine
106,E.Guigal Rose,18.95,https://www.bestbuywinewarehouse.com/collections/all/products/e-guigal-rose,E.Guigal Rose,,3.6,8212.0,E. Guigal Côtes-du-Rhône Rosé,https://www.vivino.com/US-NY/en/wines/1469038,red-wine
107,Edna Valley Cabernet,16.95,https://www.bestbuywinewarehouse.com/collections/all/products/edna-valley-cabernet,Edna Valley Cabernet,,,,Anapamu Edna Valley Cabernet Sauvignon,https://www.vivino.com/US-NY/en/wines/5084324,red-wine
108,Elouan Pinot Nior,27.5,https://www.bestbuywinewarehouse.com/collections/all/products/elouan-pinot-nior,Elouan Pinot Nior,,4.0,25841.0,Elouan Pinot Noir,https://www.vivino.com/US-NY/en/wines/9288776,red-wine
109,Estancia Merlot,15.95,https://www.bestbuywinewarehouse.com/collections/all/products/estancia-merlot,Estancia Merlot,,3.6,2850.0,Estancia Merlot,https://www.vivino.com/US-NY/en/wines/1756877,red-wine
