,title,price,url,search_name,vintage,vivino_score,num_reviews,vivino_name,vivino_link,wine_type,error_flag,country,region,winery_region,vintage_score,vintage_num_reviews,style,alcohol_perc,vivino_price
39,"Italy Frank Cornelissen, Etna Rosso Munjebel MC 2018",84.99,https://www.navywine.com/frank-cornelissen-etna-rosso-munjebel-mc-2018.html,"Italy Frank Cornelissen, Etna Rosso Munjebel MC",2018.0,4.2,260.0,Frank Cornelissen MunJebel MC Rosso,https://www.vivino.com/US-NY/en/wines/20518839,red,True,Italy,Terre Siciliane,Terre Siciliane,4.2,28.0,Red,15.0,55.99
40,"Italy Frank Cornelissen, Etna Rosso Munjebel BB 2018",119.99,https://www.navywine.com/frank-cornelissen-etna-rosso-munjebel-bb-2018.html,"Italy Frank Cornelissen, Etna Rosso Munjebel BB",2018.0,4.4,37.0,Frank Cornelissen Munjebel BB Rosso,https://www.vivino.com/US-NY/en/wines/169404232,red,True,Italy,Sicilia,Terre Siciliane,4.4,27.0,Red,14.0,119.9
41,"Italy Frank Cornelissen, Etna Rosso Munjebel CR 2018",84.99,https://www.navywine.com/frank-cornelissen-etna-rosso-munjebel-cr-2018.html,"Italy Frank Cornelissen, Etna Rosso Munjebel CR",2018.0,4.1,46.0,Frank Cornelissen MunJebel CR Rosso,https://www.vivino.com/US-NY/en/wines/166439482,red,True,Italy,Terre Siciliane,Terre Siciliane,4.0,10.0,Red,14.5,
42,"France Domaine de la Chevalerie, Galichets Bourgueil 2017",23.99,https://www.navywine.com/domaine-de-la-chevalerie-gallichet-bougueil-2017.html,"France Domaine de la Chevalerie, Galichets Bourgueil",2017.0,3.8,1032.0,Domaine de la Chevalerie Galichets Bourgueil,https://www.vivino.com/US-NY/en/wines/1662310,red,True,France,Bourgueil,Loire Valley,3.8,30.0,,12.5,24.0
43,"France Armand Heitz, Julienas Beaujolais 2019",22.99,https://www.navywine.com/armand-heitz-julienas-beaujolais-2019.html,"France Armand Heitz, Julienas Beaujolais",2019.0,3.8,155.0,Domaine Armand Heitz Julienas,https://www.vivino.com/US-NY/en/wines/162006782,red,True,France,Juliénas,Bourgogne,3.9,89.0,Red,,
44,"Italy Eduardo Torres Acosta, Terre Siciliane Rosso 'Versante Nord' 2019",34.99,https://www.navywine.com/eduardo-torres-acosta-versante-nord.html,"Italy Eduardo Torres Acosta, Terre Siciliane Rosso 'Versante Nord'",2019.0,4.0,2147.0,Eduardo Torres Acosta Versante Nord Nerello Mascalese,https://www.vivino.com/US-NY/en/wines/146723126,red,True,Italy,Terre Siciliane,Terre Siciliane,4.0,180.0,Red,14.0,38.0
45,"Italy Vino di Anna, 'Jeudi 15' Rosso 2019",28.99,https://www.navywine.com/vino-di-anna-jeudi-15-rosso-2019.html,"Italy Vino di Anna, 'Jeudi 15' Rosso",2019.0,3.8,540.0,Vino di Anna Jeudi 15,https://www.vivino.com/US-NY/en/wines/4966296,red,True,Italy,Terre Siciliane,Terre Siciliane,3.8,28.0,Red,13.0,
46,"France Le Briseau, VDF Rouge 'Le Verre des Poetes' NV",37.99,https://www.navywine.com/le-briseau-vdf-rouge-le-verre-des-poetes-nv.html,"France Le Briseau, VDF Rouge 'Le Verre des Poetes' NV",,3.8,428.0,Domaine de Montrieux Le Verre des Poètes,https://www.vivino.com/US-NY/en/wines/3627011,red,True,France,Vin de France,Loire Valley,,,,13.0,
47,"Argentina Altos las Hormigas, Malbec Terroir Valle de Uco 2018",17.99,https://www.navywine.com/altos-las-hormigas-malbec-terroir-valle-de-uco-201.html,"Argentina Altos las Hormigas, Malbec Terroir Valle de Uco",2018.0,3.7,8552.0,Altos Las Hormigas Malbec Terroir Valle de Uco,https://www.vivino.com/US-NY/en/wines/2371209,red,True,Argentina,Uco Valley,Mendoza,3.8,634.0,Malbec,14.3,14.99
48,"France Thierry Chardon, Les Chardons Touraine Gamay 2020",16.99,https://www.navywine.com/thierry-chardon-les-chardons-touraine-gamay-2020.html,"France Thierry Chardon, Les Chardons Touraine Gamay",2020.0,3.8,268.0,Domaine de l'Aumonier Les Chardons Gamay Touraine,https://www.vivino.com/US-NY/en/wines/2983665,red,True,France,Touraine,Touraine,0.0,4.0,,12.0,
